location,room,area,floor,price
Nəriman Nərimanov m.,3 otaqlı,105.0,5,280000
Nəriman Nərimanov m.,3 otaqlı,138.0,15,258000
Nəriman Nərimanov m.,3 otaqlı,75.0,4,199000
Nəriman Nərimanov m.,2 otaqlı,50.0,9,140000
Nəriman Nərimanov m.,3 otaqlı,70.0,14,160000
Nəriman Nərimanov m.,2 otaqlı,87.0,14,185500
Nəriman Nərimanov m.,4 otaqlı,157.0,3,480000
Nəriman Nərimanov m.,2 otaqlı,100.0,11,240000
Nəriman Nərimanov m.,2 otaqlı,46.0,14,177000
Nəriman Nərimanov m.,3 otaqlı,100.0,7,330000
Nəriman Nərimanov m.,2 otaqlı,68.0,14,218000
Nəriman Nərimanov m.,3 otaqlı,129.0,7,365000
Nəriman Nərimanov m.,3 otaqlı,115.0,5,350000
Nəriman Nərimanov m.,4 otaqlı,145.0,6,275000
Nəriman Nərimanov m.,2 otaqlı,108.0,7,250000
Nəriman Nərimanov m.,2 otaqlı,75.0,8,255000
Nəriman Nərimanov m.,6 otaqlı,118.0,4,240000
Nəriman Nərimanov m.,3 otaqlı,60.0,8,155000
Nəriman Nərimanov m.,2 otaqlı,105.0,4,268000
Nəriman Nərimanov m.,4 otaqlı,162.0,15,405000
Nəriman Nərimanov m.,2 otaqlı,68.2,9,164000
Nəriman Nərimanov m.,4 otaqlı,122.3,5,293616
Nəriman Nərimanov m.,4 otaqlı,145.0,6,275000
Nəriman Nərimanov m.,4 otaqlı,104.0,5,355000
Nəriman Nərimanov m.,2 otaqlı,100.0,2,275000
Nəriman Nərimanov m.,2 otaqlı,70.0,10,165000
Nəriman Nərimanov m.,2 otaqlı,42.2,5,135000
Nəriman Nərimanov m.,2 otaqlı,40.7,3,100000
Nəriman Nərimanov m.,2 otaqlı,90.0,11,328000
Nəriman Nərimanov m.,2 otaqlı,91.0,7,243000
Nəriman Nərimanov m.,2 otaqlı,58.0,11,179000
Nəriman Nərimanov m.,2 otaqlı,68.0,14,218000
Nəriman Nərimanov m.,2 otaqlı,40.4,7,106000
Nəriman Nərimanov m.,2 otaqlı,48.0,3,160000
Nəriman Nərimanov m.,4 otaqlı,110.0,6,254000
Nəriman Nərimanov m.,2 otaqlı,103.0,4,165000
Nəriman Nərimanov m.,3 otaqlı,129.0,8,235000
Nəriman Nərimanov m.,2 otaqlı,80.0,15,249000
Nəriman Nərimanov m.,3 otaqlı,139.5,7,465000
Nəriman Nərimanov m.,4 otaqlı,171.4,11,512000
Nəriman Nərimanov m.,4 otaqlı,125.0,8,320000
Nəriman Nərimanov m.,3 otaqlı,94.0,7,245000
Nəriman Nərimanov m.,4 otaqlı,136.0,6,275000
Nəriman Nərimanov m.,3 otaqlı,80.0,15,310000
Nəriman Nərimanov m.,4 otaqlı,152.0,10,405000
Nəriman Nərimanov m.,2 otaqlı,70.0,9,231000
Nəriman Nərimanov m.,3 otaqlı,151.0,14,500000
Nəriman Nərimanov m.,4 otaqlı,136.0,6,275000
Nəriman Nərimanov m.,3 otaqlı,90.0,9,240000
Nəriman Nərimanov m.,2 otaqlı,67.0,6,198000
Nəriman Nərimanov m.,3 otaqlı,106.0,12,330000
Nəriman Nərimanov m.,3 otaqlı,115.0,5,350000
Nəriman Nərimanov m.,2 otaqlı,102.0,12,327000
Nəriman Nərimanov m.,2 otaqlı,117.0,14,234000
Nəriman Nərimanov m.,4 otaqlı,162.0,15,405000
Nəriman Nərimanov m.,5 otaqlı,210.0,2,410000
Nəriman Nərimanov m.,3 otaqlı,155.5,5,380000
Gənclik m.,4 otaqlı,166.3,15,808000
Nəriman Nərimanov m.,3 otaqlı,127.0,3,350000
Nəriman Nərimanov m.,3 otaqlı,85.0,15,309000
Nəriman Nərimanov m.,4 otaqlı,165.0,7,450000
Nəriman Nərimanov m.,4 otaqlı,136.0,6,275000
Nəriman Nərimanov m.,3 otaqlı,105.0,8,240000
Nəriman Nərimanov m.,2 otaqlı,95.0,16,245000
Nəriman Nərimanov m.,2 otaqlı,100.0,2,262000
Nəriman Nərimanov m.,4 otaqlı,185.0,16,650000
Nəriman Nərimanov m.,2 otaqlı,67.0,6,198000
Nəriman Nərimanov m.,2 otaqlı,50.0,1,220000
Nəriman Nərimanov m.,2 otaqlı,70.0,6,196000
Nəriman Nərimanov m.,2 otaqlı,56.0,8,172000
Nəriman Nərimanov m.,2 otaqlı,75.0,2,208000
Nəriman Nərimanov m.,2 otaqlı,67.0,6,196000
Nəriman Nərimanov m.,2 otaqlı,96.0,7,260000
Nəriman Nərimanov m.,3 otaqlı,140.0,6,480000
Nəriman Nərimanov m.,2 otaqlı,60.0,9,220000
Nəriman Nərimanov m.,3 otaqlı,85.0,15,309000
Nəriman Nərimanov m.,3 otaqlı,127.0,3,350000
Nəriman Nərimanov m.,2 otaqlı,86.6,15,184500
Nəriman Nərimanov m.,3 otaqlı,120.0,11,267000
Nəriman Nərimanov m.,3 otaqlı,85.0,5,273000
Nəriman Nərimanov m.,2 otaqlı,75.0,2,170000
Nəriman Nərimanov m.,3 otaqlı,126.0,3,350000
Nəriman Nərimanov m.,4 otaqlı,136.0,6,290000
Nəriman Nərimanov m.,2 otaqlı,90.0,8,192000
Nəriman Nərimanov m.,3 otaqlı,100.0,7,275000
Nəriman Nərimanov m.,3 otaqlı,140.0,6,480000
Nəriman Nərimanov m.,3 otaqlı,127.0,3,350000
Nəriman Nərimanov m.,3 otaqlı,83.0,12,265000
Nəriman Nərimanov m.,2 otaqlı,91.0,5,265000
Nəriman Nərimanov m.,4 otaqlı,215.0,5,516000
Nəriman Nərimanov m.,3 otaqlı,112.0,11,280000
Nəriman Nərimanov m.,1 otaqlı,41.0,1,109000
Nəriman Nərimanov m.,2 otaqlı,87.0,12,184500
Nəriman Nərimanov m.,2 otaqlı,75.0,12,268000
Nəriman Nərimanov m.,3 otaqlı,100.0,7,330000
Nəriman Nərimanov m.,2 otaqlı,75.0,11,265000
Nəriman Nərimanov m.,4 otaqlı,320.0,16,418000
Nəriman Nərimanov m.,3 otaqlı,78.0,4,170000
Nəriman Nərimanov m.,5 otaqlı,120.0,4,370000
Nəriman Nərimanov m.,2 otaqlı,51.0,5,160000
Nəriman Nərimanov m.,4 otaqlı,142.0,4,330000
Nəriman Nərimanov m.,2 otaqlı,50.0,8,159000
Nəriman Nərimanov m.,2 otaqlı,98.0,5,225000
Nəriman Nərimanov m.,3 otaqlı,105.0,4,260000
Nəriman Nərimanov m.,3 otaqlı,176.0,8,535000
Nəriman Nərimanov m.,2 otaqlı,80.0,3,245000
Nəriman Nərimanov m.,2 otaqlı,81.0,16,208000
Nəriman Nərimanov m.,4 otaqlı,165.0,2,340000
Nəriman Nərimanov m.,3 otaqlı,100.0,7,275000
Nəriman Nərimanov m.,3 otaqlı,70.0,4,170000
Nəriman Nərimanov m.,4 otaqlı,122.3,9,305850
Nəriman Nərimanov m.,4 otaqlı,122.3,9,305850
Nəriman Nərimanov m.,3 otaqlı,105.0,5,280000
Gənclik m.,4 otaqlı,166.3,15,808000
Nəriman Nərimanov m.,3 otaqlı,85.0,15,309000
Nəriman Nərimanov m.,3 otaqlı,130.0,8,235000
Nəriman Nərimanov m.,3 otaqlı,111.0,3,299500
Nəriman Nərimanov m.,2 otaqlı,57.0,5,157000
Nəriman Nərimanov m.,4 otaqlı,96.2,3,235000
Nəriman Nərimanov m.,2 otaqlı,54.0,4,199000
Nəriman Nərimanov m.,3 otaqlı,100.0,7,330000
Nəriman Nərimanov m.,3 otaqlı,132.0,11,380000
Nəriman Nərimanov m.,2 otaqlı,86.0,14,247999
Nəriman Nərimanov m.,3 otaqlı,129.0,8,235000
Nəriman Nərimanov m.,3 otaqlı,127.4,12,290000
Nəriman Nərimanov m.,4 otaqlı,164.0,3,330000
Nəriman Nərimanov m.,2 otaqlı,68.0,14,218000
Nəriman Nərimanov m.,2 otaqlı,55.0,4,199000
Nəriman Nərimanov m.,2 otaqlı,75.0,8,255000
Nəriman Nərimanov m.,3 otaqlı,90.0,9,240000
Nəriman Nərimanov m.,4 otaqlı,154.0,5,270000
Nəriman Nərimanov m.,2 otaqlı,55.0,9,175000
Nəriman Nərimanov m.,3 otaqlı,135.0,2,285000
Nəriman Nərimanov m.,3 otaqlı,125.0,16,450000
Nəriman Nərimanov m.,5 otaqlı,225.0,12,600000
Nəriman Nərimanov m.,4 otaqlı,164.0,3,496000
Nəriman Nərimanov m.,3 otaqlı,72.0,6,218000
Nəriman Nərimanov m.,4 otaqlı,207.0,11,589950
